earnings_date,name,short_float,symbol,datetime,url
2022-03-08,"TFF Pharmaceuticals, Inc.",2.01,TFFP,2022-01-10,https://finance.yahoo.com/quote/TFFP/
2022-02-22,Tenneco Inc.,2.75,TEN,2022-01-10,https://finance.yahoo.com/quote/TEN/
2022-02-01,"Triumph Group, Inc.",4.67,TGI,2022-01-10,https://finance.yahoo.com/quote/TGI/
2022-02-28,Gentherm Inc,1.71,THRM,2022-01-10,https://finance.yahoo.com/quote/THRM/
2022-01-26,Atlassian Corporation Plc,1.16,TEAM,2022-01-10,https://finance.yahoo.com/quote/TEAM/
2022-01-18,Truist Financial Corporation,0.89,TFC,2022-01-10,https://finance.yahoo.com/quote/TFC/
2022-03-17,"Tarena International, Inc.",0.95,TEDU,2022-01-10,https://finance.yahoo.com/quote/TEDU/
2022-02-28,TEGNA Inc,0.98,TGNA,2022-01-10,https://finance.yahoo.com/quote/TGNA/
2022-02-23,"TRACON Pharmaceuticals, Inc.",1.14,TCON,2022-01-10,https://finance.yahoo.com/quote/TCON/
2022-01-31,Bio-Techne Corp,1.22,TECH,2022-01-10,https://finance.yahoo.com/quote/TECH/
2022-02-28,"TG Therapeutics, Inc.",10.16,TGTX,2022-01-10,https://finance.yahoo.com/quote/TGTX/
2022-03-15,"ThermoGenesis Holdings, Inc.",3.85,THMO,2022-01-10,https://finance.yahoo.com/quote/THMO/
2022-03-01,Trip.com Group Limited,3.02,TCOM,2022-01-10,https://finance.yahoo.com/quote/TCOM/
2022-03-07,"Thor Industries, Inc.",8.6,THO,2022-01-10,https://finance.yahoo.com/quote/THO/
2022-02-28,Tecnoglass Inc.,3.14,TGLS,2022-01-10,https://finance.yahoo.com/quote/TGLS/
2022-02-23,TimkenSteel Corporation,11.25,TMST,2022-01-10,https://finance.yahoo.com/quote/TMST/
2022-02-09,"Treehouse Foods, Inc.",3.95,THS,2022-01-10,https://finance.yahoo.com/quote/THS/
2022-02-22,"Taseko Mines, Ltd.",1.01,TGB,2022-01-10,https://finance.yahoo.com/quote/TGB/
2022-03-07,"Team, Inc.",2.31,TISI,2022-01-10,https://finance.yahoo.com/quote/TISI/
2022-02-21,Titan Medical Inc.,0.46,TMDI,2022-01-10,https://finance.yahoo.com/quote/TMDI/
2022-03-22,Tsakos Energy Navigation Ltd,2.85,TNP,2022-01-10,https://finance.yahoo.com/quote/TNP/
2021-09-09,TOP Ships Inc.,3.36,TOPS,2022-01-10,https://finance.yahoo.com/quote/TOPS/
2022-03-14,Tonix Pharmaceuticals Holding C,1.84,TNXP,2022-01-10,https://finance.yahoo.com/quote/TNXP/
2022-02-28,Target Corporation,2.19,TGT,2022-01-10,https://finance.yahoo.com/quote/TGT/
2022-03-22,"Trean Insurance Group, Inc.",0.36,TIG,2022-01-10,https://finance.yahoo.com/quote/TIG/
2022-02-09,"Tempur Sealy International, Inc",4.58,TPX,2022-01-10,https://finance.yahoo.com/quote/TPX/
2022-02-23,Texas Pacific Land Corporation,2.83,TPL,2022-01-10,https://finance.yahoo.com/quote/TPL/
2022-02-22,Tutor Perini Corporation,2.91,TPC,2022-01-10,https://finance.yahoo.com/quote/TPC/
2022-02-23,Teekay Tankers Ltd.,1.55,TNK,2022-01-10,https://finance.yahoo.com/quote/TNK/
2022-02-14,"Tootsie Roll Industries, Inc.",3.55,TR,2022-01-10,https://finance.yahoo.com/quote/TR/
2022-02-21,"Trex Company, Inc.",5.65,TREX,2022-01-10,https://finance.yahoo.com/quote/TREX/
2022-02-22,"TJX Companies, Inc. (The)",0.92,TJX,2022-01-10,https://finance.yahoo.com/quote/TJX/
2022-02-28,"Turning Point Therapeutics, Inc",4.1,TPTX,2022-01-10,https://finance.yahoo.com/quote/TPTX/
2022-02-22,Tellurian Inc.,11.37,TELL,2022-01-10,https://finance.yahoo.com/quote/TELL/
2022-02-23,"LendingTree, Inc.",9.39,TREE,2022-01-10,https://finance.yahoo.com/quote/TREE/
2022-02-21,"Tabula Rasa HealthCare, Inc.",6.98,TRHC,2022-01-10,https://finance.yahoo.com/quote/TRHC/
2022-02-08,"Turning Point Brands, Inc.",5.45,TPB,2022-01-10,https://finance.yahoo.com/quote/TPB/
2021-12-15,Trinity Biotech plc,1.47,TRIB,2022-01-10,https://finance.yahoo.com/quote/TRIB/
2022-02-08,Trimble Inc.,0.88,TRMB,2022-01-10,https://finance.yahoo.com/quote/TRMB/
2022-02-23,"Virgin Galactic Holdings, Inc.",13.3,SPCE,2022-01-10,https://finance.yahoo.com/quote/SPCE/
2022-02-16,"TripAdvisor, Inc.",7.81,TRIP,2022-01-10,https://finance.yahoo.com/quote/TRIP/
2022-02-15,Tronox Holdings plc,1.64,TROX,2022-01-10,https://finance.yahoo.com/quote/TROX/
2022-02-09,Trio-Tech International,4.69,TRT,2022-01-10,https://finance.yahoo.com/quote/TRT/
